Main_Category,Main_Category_Name ,LDM,IL,FilterAttribute,Filter,Related_tables,Notes
EBA_MC_EBA_x469,Loans_and_advances,Loan_excluding_repurchase_agreement_and_advance,BIRD_INSTRMNT_EIL,TYP_INSTRMNT,51: 71: 80 :1003:114:141,BIRD_ABSTRCT_INSTRMNT_RL_EIL:BIRD_PRTY_EIL:BIRD_CLLTRL_EIL,
EBA_MC_EBA_x469,Loans_and_advances,Long_debt_security_position_Prudential_portfolio_assignment_Accounting_classification_for_financial_assets_assignment_type,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL,TYP_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,10,BIRD_PRTY_EIL,
