Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Currency of record",D5B3996B-06CA-56BA-F55E-E69B2B7F74AF,135,,74FDE155-399A-5886-2419-C144B9B3EE90,104,N,Domain,,,,,61D993CB-3857-0254-82CE-4524A856851C,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Currency",String,,,,,,,,"Delta sensitivity",,,,1,3,,,,
"Currency of record",BD221C2D-E63F-EE2D-E61E-65F876F9A2FD,136,,CAAA6A13-3408-32AA-C628-9F0995673C28,102,N,Domain,,,,,61D993CB-3857-0254-82CE-4524A856851C,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Currency",String,,,,,,,,"Curvature",,,,1,3,,,,
"Curvature risk weight",105922CC-ED5A-7239-F661-2CE80F67712E,137,,CAAA6A13-3408-32AA-C628-9F0995673C28,102,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Curvature",,,,4,,,,,
"Curvature valuation difference",5C3EAC37-A82D-C65C-55D2-FD482BB92875,138,,CAAA6A13-3408-32AA-C628-9F0995673C28,102,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Curvature",,,,2,,,,,
"Delivery location",34DBA1DF-E5A2-07F8-8478-C962E4ADBF61,139,,E5488186-437C-BC1C-8AC2-048D08999A0A,100,N,Domain,,,,,78E25C16-8968-20B4-E330-DA4578EE46CF,25,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String",String,,,,,,,,"Commodity risk factor",,,,2,156,,,,
"Delta sensitivity",0F81F010-9963-4B44-5A1A-79B5859E6669,140,,74FDE155-399A-5886-2419-C144B9B3EE90,104,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity",,,,3,,,,,
"Delta sensitivity combination identifier",A63D2F7C-7B91-B350-5CD3-71B778FBD92A,141,,759B8717-A824-710D-F330-8402AA7CA111,105,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Delta sensitivity combinations_derived",P,,,3,,,,,
"Delta Vega Or Curvature Risk",280873B8-4EA9-944C-8960-DF61D0BB3612,142,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,9D251A70-535F-1BCA-710F-2D0D5206F36E,8,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Delta Vega Or Curvature Risk",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,4,3,,,,
"Economy",B2C2F53E-496F-89F3-969F-513A64D30062,143,,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,N,Domain,,,,,99DE0662-BAB5-5473-EAD0-5714FAC4965C,9,LOGDT017,31,,,,,,,,,Y,"Economy",unknown,,,,,,,,"Organisation",,,,5,,,,,
"Equity factor type",BAF2B796-C678-E47C-0645-8A1FFD2A0399,144,,C479F3DA-D525-3B6D-27B8-E0950E385F50,107,N,Domain,,,,,1427FBA3-05E0-CA88-F2BC-BC801DCE8AB8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Equity factor type",String,,,,,EQUTY_FCTR_TYP,,,"Equity risk factor",,,,1,3,,,,
"GIRR delta correlated value",2C4A7284-95EE-091C-B167-A638E413447E,145,,759B8717-A824-710D-F330-8402AA7CA111,105,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity combinations_derived",,,,2,,,,,
"GIRR delta correlated value per bucket",4942B4BD-37C4-C8CA-C5A9-2A7CA6879AD4,146,,D696800F-974A-9206-9F17-A4CCBE2FD543,103,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivities correlated and aggregated_derived",,,,1,,,,,
"GIRR delta correlation factor",9E058EE3-D2BD-F9BD-7BC6-978ACD4039C9,147,,759B8717-A824-710D-F330-8402AA7CA111,105,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity combinations_derived",,,,1,,,,,
"GIRR delta KB",8284CB2F-DAF5-61A4-9D20-354DA9576E37,148,,BA2E3C75-93F0-6645-DA84-7698317A75B1,110,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"KB per bucket_derived",,,,1,,,,,
"GIRR delta risk weight",04CE597A-5AB0-EDE9-E470-7C3E8EAB1BA3,149,,34908E02-53E1-6647-E07D-2921F33DDF28,111,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,4,,,,,
"GIRR risk factor type",0A77E337-549A-27A5-3B08-F70824F6D7EB,150,,B38A778B-0463-9C7D-3502-F4091E4E0384,109,N,Domain,,,,,A38EA317-F0EC-770D-9FFB-56136AA62106,11,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"GIRR risk factor type",String,,,,,,,,"GIRR risk factor",,,,1,3,,,,
"Hypothetical Value Under Specific Assumptions",CB89C522-AB57-3AD5-B2AB-D3536262B591,151,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,0C0CB380-50D3-FC6A-0B52-AC11D7B20657,3,LOGDT006,40,,,,,,,,,Y,"Boolean",Boolean,,,,,,,,"OUTPUT_LAYER_FRTB",,,,9,,,,,
"Instrument",2101D5C5-FA14-FA6E-DC58-DFC3E8C70A39,152,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,29BAC856-67BB-03AF-68AC-03A6A98312D7,12,LOGDT017,31,,,,,,,,,Y,"Instrument",unknown,,,,,,,,"OUTPUT_LAYER_FRTB",,,,12,,,,,
"Issue Identifier",D59D2351-11DE-5835-5579-2B664C07C628,153,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,119,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Security issue",P,,,2,,,,,
"Issue Identifier",DF45395F-D359-D5C5-A570-953684C5504D,154,,8ABC1D49-C1B4-877C-ED2B-EBC1BFA1363B,118,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,609E646F-44F1-8B17-8BD3-D4B7E0B8E361,224,"Securitisation non CTP risk factor",,F,"Relation_6",2,,,,,
"Issue Identifier",E018E7F5-EA38-5477-756A-90B090C11B75,155,,C479F3DA-D525-3B6D-27B8-E0950E385F50,107,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,51581835-0EB3-A20D-FE96-99D73DC26D32,223,"Equity risk factor",,F,"Relation_5",2,,,,,
"Main Catagory",1CA14B50-8560-A0D5-ED3B-679C5FE4201A,156,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,E41BF2C1-36E3-6B32-D73A-8F8901FE5B50,13,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Main Catagory",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,2,3,,,,
"Main currency",6CB45D8D-6EFF-1928-F265-999371B2D27A,157,,B38A778B-0463-9C7D-3502-F4091E4E0384,109,N,Domain,,,,,61D993CB-3857-0254-82CE-4524A856851C,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Currency",String,,,,,,,,"GIRR risk factor",,,,2,3,,,,
"Market cap",CE182A53-0975-F2C4-1770-0FFC28116F78,158,,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,N,Domain,,,,,7F63E47C-D3DB-4A93-6AC8-9AEB283E41DA,14,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Market cap",String,,,,,,,,"Organisation",,,,4,3,,,,
"Market Risk Portfolio",7450CA72-C7CE-1008-5392-8BF775D1834F,159,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,6D2C1650-3392-02CC-49B6-6BEA2F9A33C6,15,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Market Risk Portfolio",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,11,3,,,,
"Netted delta sensitivities",B940F42C-6CAD-7E32-CD85-4DA2DB0891FB,160,,34908E02-53E1-6647-E07D-2921F33DDF28,111,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,2,,,,,
"Netted delta sensitivities identifier",EAD5128C-F2F0-334D-B38B-53E87875010B,161,,34908E02-53E1-6647-E07D-2921F33DDF28,111,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",P,,,1,,,,,
"Netted delta sensitivities identifier",61B29BCB-62A0-76F8-468C-D8B64CD3A5A4,162,,759B8717-A824-710D-F330-8402AA7CA111,105,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,BD2B0EFA-7A25-AA6C-3982-D69EC42E9EC0,218,"Delta sensitivity combinations_derived",,F,"Netted delta sensitivities_identifier1",4,,,,,
"Netted delta sensitivities identifier1",CB41F323-1317-A1D5-ABAD-14C134BD6319,163,,759B8717-A824-710D-F330-8402AA7CA111,105,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,C6775864-884A-D068-4C4E-E2E66454A681,219,"Delta sensitivity combinations_derived",,F,"Netted delta sensitivities_identifier2",5,,,,,
"option maturity",C78476ED-23B6-819D-275B-51A406887D78,164,,47A941C3-2E4D-07A4-14B2-F4AFB696D126,122,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Vega sensitivity",,,,2,,,,,
"Organisation identifier",44B2D652-92E9-5FAE-AA89-6B63EB4037CA,165,,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Organisation",P,,,1,,,,,
"Organisation identifier",3E2AAB99-1910-8B42-E304-EE2BE4544F2C,166,,41723CFA-4325-D82E-7C07-BBF4BEA5B19D,101,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,F4967460-7822-C4DB-CBDD-8D936D400EDC,216,"CSR non securitisation risk factor",,F,"issuerv2",3,,,,,
"Organisation identifier",4D8DF761-26E3-BA2A-7140-56D6AD444CDD,167,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,119,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,8D535C8F-2910-B878-51D6-91AC6852B8AC,215,"Security issue",,F,"issuer",3,,,,,
"Own Funds Requirements",A13FAC49-98E4-2898-C62F-F5C97F960141,168,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"OUTPUT_LAYER_FRTB",,,,14,,,,,
"Position identifier",F905716C-56AA-D854-32B3-33220A5D482E,169,,7F7861A5-652D-E468-5DF9-35EEB805D06C,120,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Security or exchange tradable derivative position",P,,,1,,,,,
"Position identifier",F7A033E7-52FB-25CB-1289-A5AED88A0247,170,,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,115,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,C5D7EE96-E799-F6F8-6B9D-E05B4B34EE4A,221,"Risk measure",,F,"Relation_13",4,,,,,
"Position In The Instrument",A0A5A0B7-7C94-9420-9026-4E86E8DC9D96,171,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,564D03C7-873B-54EE-7F1D-0C50A602590B,17,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Position In The Instrument",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,6,3,,,,
"Prudentia lPortfolio",A9F60D04-9772-B5E9-5FAC-1BACE8B0E43F,172,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,AABB0481-A808-9720-89C2-53927BCC69E2,18,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Prudential Portfolio",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,7,3,,,,
"Ratings grade",3E34C83C-FDFE-AF02-6168-CF2D934F2A03,173,,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,N,Domain,,,,,EAE9AB06-8C26-B8CC-733E-02CAD25C9CC8,19,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Rating grade",String,,,,,,,,"Organisation",,,,2,3,,,,
"Ratings grade",5157082B-7A37-50FA-C91E-90EB65674275,174,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,119,N,Domain,,,,,EAE9AB06-8C26-B8CC-733E-02CAD25C9CC8,19,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Rating grade",String,,,,,,,,"Security issue",,,,1,3,,,,
"Risk factor Identifier",BE7360C2-B60A-40E8-DF64-EAC51C9948A0,175,,34908E02-53E1-6647-E07D-2921F33DDF28,111,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,002FA71D-BBA7-E42F-5E61-D0C4C62C5D57,225,"Netted delta sensitivities per risk factor and tenor_derived",,F,"risk factorv2",9,,,,,
"Risk factor Identifier",4A5E6818-D579-ADEC-3C56-7425F98DB037,176,,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,115,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,61F68422-DB16-E699-396E-7F7E05929587,220,"Risk measure",,F,"Relation_12",3,,,,,
"Risk factor Identifier",6F905B6C-EC99-1422-CBA1-C8E591102FAE,177,,E7C4E383-AABB-082F-EAE7-A59D01E27340,114,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Risk factor",P,,,1,,,,,
"Risk factor type",234F8B58-00BE-7DB5-5F7B-81EFF40BE2AD,178,,E7C4E383-AABB-082F-EAE7-A59D01E27340,114,N,Domain,,,,,27DE6432-B160-AF80-EE48-D0605ACFFB3B,20,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Risk factor type",String,,,,,,,,"Risk factor",,,,2,3,,,,
"Risk measure identifier",2CEEE7DA-CBD4-26D2-1EF9-EC7DD4E1E251,179,,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,115,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Risk measure",P,,,1,,,,,
"Risk measure type",8DC4F242-60D0-1CB8-16D3-58E8B8CB2C64,180,,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,115,N,Domain,,,,,4041534B-669E-8BBD-B449-AED36F6E4944,21,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Risk measure type",String,,,,,,,,"Risk measure",,,,2,3,,,,
"Second currency",A58B61ED-C746-B60E-94B4-422E863E40B5,181,,B38A778B-0463-9C7D-3502-F4091E4E0384,109,N,Domain,,,,,61D993CB-3857-0254-82CE-4524A856851C,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Currency",String,,,,,,,,"GIRR risk factor",,,,3,3,,,,
"Sector",E3BFB1FC-D269-D908-9391-2EE812FBA660,182,,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,N,Domain,,,,,C764DB9F-3245-FA18-0477-2FED20796BBA,22,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Sector",String,,,,,,,,"Organisation",,,,3,3,,,,
"Securitisation sector",FB497CE4-4809-1BC4-316A-6038C331240B,183,,B23842D1-E84A-6E39-1C9B-B10557BD6BC5,116,N,Domain,,,,,B11F7524-2D69-9CB2-DC3A-EFE9FFEFE6AD,23,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Securitisation sector",String,,,,,,,,"Securitisation",,,,1,3,,,,
"Sensitivities correlated and aggregated bucket identifier",7C0E27BE-0E0F-EA47-0B52-E24C09ABDCFE,184,,759B8717-A824-710D-F330-8402AA7CA111,105,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,30856B2F-8B5D-5797-3B69-F42CC7E6F592,213,"Delta sensitivity combinations_derived",,F,"Delta sensitivity combinations",6,,,,,
"Sensitivities correlated and aggregated bucket identifier",9812936F-BBA0-BC02-CC7B-8F79FAC1F0FF,185,,BA2E3C75-93F0-6645-DA84-7698317A75B1,110,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,4746F6FE-1414-1A74-41AE-AE1F69CC685A,212,"KB per bucket_derived",,F,"Correlated delta sensitivity totals",3,,,,,
"Sensitivities correlated and aggregated bucket identifier",7CC1B320-B400-D03B-CB65-1B36FCE26F84,186,,D696800F-974A-9206-9F17-A4CCBE2FD543,103,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Delta sensitivities correlated and aggregated_derived",P,,,2,,,,,
"Sensitivity To Delta Risk Factors",4A2CE45F-B32D-589E-D34C-28FAE28340B2,187,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"OUTPUT_LAYER_FRTB",,,,13,,,,,
