Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Curvature risk weight",105922CC-ED5A-7239-F661-2CE80F67712E,140,,CAAA6A13-3408-32AA-C628-9F0995673C28,104,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Curvature",,,,4,,,,,
"Curvature valuation difference",5C3EAC37-A82D-C65C-55D2-FD482BB92875,141,,CAAA6A13-3408-32AA-C628-9F0995673C28,104,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Curvature",,,,2,,,,,
"Delivery location",34DBA1DF-E5A2-07F8-8478-C962E4ADBF61,142,,E5488186-437C-BC1C-8AC2-048D08999A0A,102,N,Domain,,,,,78E25C16-8968-20B4-E330-DA4578EE46CF,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String",String,,,,,,,,"Commodity risk factor",,,,2,156,,,,
"Delta sensitivity",0F81F010-9963-4B44-5A1A-79B5859E6669,143,,74FDE155-399A-5886-2419-C144B9B3EE90,106,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity",,,,3,,,,,
"Delta sensitivity combination identifier",A63D2F7C-7B91-B350-5CD3-71B778FBD92A,144,,759B8717-A824-710D-F330-8402AA7CA111,107,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Delta sensitivity combinations_derived",P,,,3,,,,,
"Delta Vega Or Curvature Risk",280873B8-4EA9-944C-8960-DF61D0BB3612,145,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,9D251A70-535F-1BCA-710F-2D0D5206F36E,8,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Delta Vega Or Curvature Risk",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,4,3,,,,
"Economy",B2C2F53E-496F-89F3-969F-513A64D30062,146,,2BCD02A6-76DC-6E84-FA25-9778097C621E,114,N,Domain,,,,,99DE0662-BAB5-5473-EAD0-5714FAC4965C,9,LOGDT017,33,,,,,,,,,Y,"Economy",unknown,,,,,,,,"Organisation",,,,5,,,,,
"Equity factor type",BAF2B796-C678-E47C-0645-8A1FFD2A0399,147,,C479F3DA-D525-3B6D-27B8-E0950E385F50,109,N,Domain,,,,,1427FBA3-05E0-CA88-F2BC-BC801DCE8AB8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Equity factor type",String,,,,,EQUTY_FCTR_TYP,,,"Equity risk factor",,,,1,3,,,,
"GIRR delta correlated value",2C4A7284-95EE-091C-B167-A638E413447E,148,,759B8717-A824-710D-F330-8402AA7CA111,107,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity combinations_derived",,,,2,,,,,
"GIRR delta correlated value per bucket",4942B4BD-37C4-C8CA-C5A9-2A7CA6879AD4,149,,D696800F-974A-9206-9F17-A4CCBE2FD543,105,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivities correlated and aggregated_derived",,,,1,,,,,
