Logical_Type_ID,LT_Name,Native_Type,RDBMS_Type,RDBMS_Version,Has_Size,Has_Precision,Has_Scale
LOGDT033,"BINARY","BLOB",DB2/UDB,7.1,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,21c,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,12cR2,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,12c,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,11g,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,10g,N,N,N,
LOGDT056,"BINARY DOUBLE","NUMBER",Oracle,9i,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2012,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2008,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2005,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2000,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/390,8,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/390,7,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/UDB,9,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/UDB,8.1,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/UDB,7.1,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,21c,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,12cR2,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,12c,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,11g,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,10g,N,N,N,
LOGDT055,"BINARY FLOAT","NUMBER",Oracle,9i,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2012,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2008,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2005,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2000,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/390,8,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/390,7,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/UDB,9,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/UDB,8.1,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/UDB,7.1,N,N,N,
LOGDT034,"BIT","CHAR",Oracle Database,21c,Y,N,N,
LOGDT034,"BIT","CHAR",Oracle Database,12cR2,Y,N,N,
LOGDT034,"BIT","CHAR",Oracle Database,12c,Y,N,N,
LOGDT034,"BIT","CHAR",Oracle Database,11g,Y,N,N,
LOGDT034,"BIT","CHAR",Oracle Database,10g,Y,N,N,
LOGDT034,"BIT","CHAR",Oracle,9i,Y,N,N,
LOGDT034,"BIT","BIT",SQL Server,2012,N,N,N,
LOGDT034,"BIT","BIT",SQL Server,2008,N,N,N,
LOGDT034,"BIT","BIT",SQL Server,2005,N,N,N,
LOGDT034,"BIT","BIT",SQL Server,2000,N,N,N,
LOGDT034,"BIT","CHAR",DB2/390,8,N,N,N,
LOGDT034,"BIT","CHAR",DB2/390,7,N,N,N,
LOGDT034,"BIT","CHAR",DB2/UDB,9,N,N,N,
LOGDT034,"BIT","CHAR",DB2/UDB,8.1,N,N,N,
LOGDT034,"BIT","CHAR",DB2/UDB,7.1,N,N,N,
LOGDT029,"BLOB","BLOB",Oracle Database,21c,N,N,N,
LOGDT029,"BLOB","BLOB",Oracle Database,12cR2,N,N,N,
LOGDT029,"BLOB","BLOB",Oracle Database,12c,N,N,N,
LOGDT029,"BLOB","BLOB",Oracle Database,11g,N,N,N,
LOGDT029,"BLOB","BLOB",Oracle Database,10g,N,N,N,
LOGDT029,"BLOB","BLOB",Oracle,9i,N,N,N,
LOGDT029,"BLOB","IMAGE",SQL Server,2012,N,N,N,
LOGDT029,"BLOB","IMAGE",SQL Server,2008,N,N,N,
LOGDT029,"BLOB","IMAGE",SQL Server,2005,N,N,N,
LOGDT029,"BLOB","IMAGE",SQL Server,2000,N,N,N,
LOGDT029,"BLOB","BLOB",DB2/390,8,N,N,N,
LOGDT029,"BLOB","BLOB",DB2/390,7,N,N,N,
LOGDT029,"BLOB","BLOB",DB2/UDB,9,N,N,N,
LOGDT029,"BLOB","BLOB",DB2/UDB,8.1,N,N,N,
LOGDT029,"BLOB","BLOB",DB2/UDB,7.1,N,N,N,
LOGDT006,"Boolean","NUMBER",Oracle Database,21c,N,N,N,
LOGDT006,"Boolean","NUMBER",Oracle Database,12cR2,N,N,N,
LOGDT006,"Boolean","NUMBER",Oracle Database,12c,N,N,N,
LOGDT006,"Boolean","CHAR",Oracle Database,11g,Y,N,N,
LOGDT006,"Boolean","CHAR",Oracle Database,10g,Y,N,N,
LOGDT006,"Boolean","CHAR",Oracle,9i,Y,N,N,
LOGDT006,"Boolean","BIT",SQL Server,2012,N,N,N,
LOGDT006,"Boolean","BIT",SQL Server,2008,N,N,N,
LOGDT006,"Boolean","BIT",SQL Server,2005,N,N,N,
LOGDT006,"Boolean","BIT",SQL Server,2000,N,N,N,
LOGDT006,"Boolean","CHAR",DB2/390,8,Y,N,N,
LOGDT006,"Boolean","CHAR",DB2/390,7,Y,N,N,
LOGDT006,"Boolean","CHAR",DB2/UDB,9,Y,N,N,
