Table Part,Main Table,Filter,Related Tables,Comments
Cash_on_hand,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 10_Cash on hands,,
Current_tax_assets,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 440_Current tax assets,,
Current_tax_liabilities,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 710_Provisions. Other than commitments and guarantees given and payment commitments to resolution funds and deposit guarantee schemes,,
Deferred_tax_assets,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 450_Deferred tax assets,,
Deferred_tax_liabilities,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 720_Deferred tax liabilities,,
Defined_benefit_obligations,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 901_Defined benefit obligations,,
Defined_benefit_plan_assets,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 902_Defined benefit plan assets,,
Defined_benefit_plans,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 903_Defined benefit plans,,
Depreciation,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 98_Depreciation,,
Dividend_income,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 125_Dividend income,,
Equity_issued_other_than_Equity_instruments_issued,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 780_Equity issued other than Equity instruments issued,,
Equity_other_than_Accumulated_other_comprehensive_income,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 800_Equity other than Accumulated other comprehensive income,,
Exchange_differences,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 150_Exchange differences,,
Expenses_on_equity_instruments_issued,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 151_Expenses on equity instruments issued,,
Fair_value_changes,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 401_Fair value changes of the hedged items in portfolio hedge of interest rate risk - Financial assets:402_Fair value changes of the hedged items in portfolio hedge of interest rate risk - Financial liabilities:,,
Fair_value_reserves,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 830_Fair value reserves,,
Fee_and_commission,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 22_Fee and commission. Expenses:24_Fee and commission. Income:,,
First_consolidation_differences,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 850_First consolidation differences,,
Gains_and_losses_from_hedge_accounting,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 29_Gains and losses from hedge accounting,,
Gains_and_losses_on_derecognition,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 180_Gains and losses on derecognition,,
Gains_and_losses_other_comprehensive_income,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 182_Gains and losses other comprehensive income,,
Goodwill,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 420_Intangible assets. Goodwill,,
Haircuts_for_trading_assets_at_fair_value,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 60_Haircuts for trading assets at fair value,,
Haircuts_for_trading_liabilities_at_fair_value,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 61_Haircuts for trading liabilities at fair value,,
Impairment,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 187_Impairment,,
Intangible_assets,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 431_Intangible assets,,
Interest,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 30_Interest. Expenses:21_Interest. Income:,,
Interim_dividends,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 880_Interim dividends,,
Liabilities_under_reinsurance_and_insurance_contracts,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 725_Liabilities under reinsurance and insurance contracts,,
Losses,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 980_Losses,,
Negative_goodwill,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 241_Income. Negative goodwill,,
Other_comprehensive_income_(net),BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 281_Other comprehensive income (net),,
Other_operating,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 23_Other operating. Expenses:25_Other operating. Income:,,
Other_reserves,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 840_Other reserves,,
Own_equity_instruments_issued,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 860_Treasury shares,,
